time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2025-05-24T06:13:47.906Z,-0.0893,0.9719,-0.1194,0.4747,-0.2228,0.3116,0.0042,-0.0894,-0.0424
2025-05-24T06:13:47.914Z,-0.1612,1.0125,-0.1339,0.6307,-0.2166,0.1911,0.0311,0.3315,0.0072
2025-05-24T06:13:47.925Z,-0.0837,0.9991,-0.098,0.3708,-0.1369,-0.0538,0.013,0.2788,0.0469
2025-05-24T06:13:47.934Z,-0.0432,1,-0.0902,-0.1867,-0.0966,-0.1482,0.0115,0.2048,0.0591
2025-05-24T06:13:47.945Z,-0.0323,0.981,-0.0939,-0.5443,-0.0949,-0.2151,0.0211,0.1281,0.0343
2025-05-24T06:13:47.955Z,-0.0575,0.9655,-0.0946,-0.5941,0.1132,-0.171,0.0123,0.0579,-0.0214
2025-05-24T06:13:47.964Z,-0.0575,0.9655,-0.0946,-0.3504,0.2427,-0.171,0.0211,0.0079,-0.0431
2025-05-24T06:13:47.975Z,-0.0902,0.9753,-0.0919,-0.3284,0.2439,-0.1959,0.0221,-0.0414,-0.0354
2025-05-24T06:13:47.984Z,-0.1206,0.9969,-0.1118,-0.015,0.1112,-0.188,0.0152,-0.0179,-0.0277
2025-05-24T06:13:47.996Z,-0.1206,0.9969,-0.1118,0.263,-0.0962,-0.0029,0.0157,0.0519,-0.0129
2025-05-24T06:13:48.005Z,-0.139,1.0058,-0.1185,0.4203,-0.1647,0.048,0.012,0.0761,0.0159
2025-05-24T06:13:48.014Z,-0.1321,1.0061,-0.1231,0.3357,-0.1712,0.1036,-0.004,0.0756,0.0434
2025-05-24T06:13:48.025Z,-0.115,0.9861,-0.1463,0.152,-0.0753,0.2791,-0.018,0.0786,0.0529
2025-05-24T06:13:48.034Z,-0.1161,0.9884,-0.1456,0.2018,0.0385,0.3117,-0.0228,0.0922,0.0566
2025-05-24T06:13:48.046Z,-0.1161,0.9884,-0.1456,0.1904,-0.0014,0.3191,-0.0395,0.0932,0.0641
2025-05-24T06:13:48.054Z,-0.0727,0.9949,-0.1227,-0.0267,-0.0642,0.3495,-0.0498,0.0683,0.0663
2025-05-24T06:13:48.064Z,-0.0727,0.9949,-0.1227,-0.1996,-0.0582,0.0414,-0.0441,0.0464,0.054
2025-05-24T06:13:48.075Z,-0.0977,0.9848,-0.0967,-0.0781,-0.0051,-0.2321,-0.0403,0.0519,0.0583
2025-05-24T06:13:48.084Z,-0.0977,0.9848,-0.0967,0.0685,0.0499,-0.1363,-0.0341,0.0724,0.0706
2025-05-24T06:13:48.096Z,-0.1089,0.9787,-0.1108,0.1824,0.106,-0.0144,-0.0314,0.0972,0.0836
2025-05-24T06:13:48.105Z,-0.0891,0.9902,-0.1158,0.1468,0.0852,0.0289,-0.0384,0.1107,0.0882
2025-05-24T06:13:48.115Z,-0.0695,0.9976,-0.107,-0.0325,-0.017,0.0281,-0.038,0.1035,0.0796
2025-05-24T06:13:48.125Z,-0.0674,0.998,-0.0934,-0.2033,-0.0723,-0.0694,-0.0296,0.0852,0.0651
2025-05-24T06:13:48.134Z,-0.0789,0.9977,-0.0895,-0.2053,-0.0792,-0.1907,-0.0322,0.0843,0.0532
2025-05-24T06:13:48.145Z,-0.0789,0.9977,-0.0895,-0.0746,-0.0684,-0.2104,-0.0297,0.1083,0.054
2025-05-24T06:13:48.155Z,-0.0646,0.9861,-0.1204,-0.0694,-0.0353,-0.0575,-0.0237,0.1072,0.0527
2025-05-24T06:13:48.164Z,-0.057,0.9691,-0.1282,-0.237,0.0663,0.1032,-0.0296,0.0718,0.0275
2025-05-24T06:13:48.175Z,-0.064,0.9769,-0.1183,-0.28,0.2113,0.1586,-0.0362,0.0576,-0.0059
2025-05-24T06:13:48.184Z,-0.0552,0.9688,-0.1105,-0.2408,0.1201,0.0562,-0.02,0.0582,-0.0106
2025-05-24T06:13:48.195Z,-0.0806,0.9654,-0.0944,-0.2915,0.235,-0.0137,-0.0192,0.0272,-0.0191
2025-05-24T06:13:48.205Z,-0.0976,1.0037,-0.0996,-0.0432,0.2031,-0.172,-0.0193,0.0613,-0.0116
2025-05-24T06:13:48.214Z,-0.1003,1.0179,-0.1065,0.1145,-0.1711,-0.0905,-0.017,0.0772,0.0115
2025-05-24T06:13:48.225Z,-0.0892,1.0036,-0.1013,0.1225,-0.2733,-0.0441,-0.0247,0.0823,0.0233
2025-05-24T06:13:48.234Z,-0.0959,0.9873,-0.0986,0.0217,-0.0985,-0.0958,-0.0226,0.0601,0.0138
2025-05-24T06:13:48.245Z,-0.0959,0.9873,-0.0986,0.1088,0.0234,-0.1214,-0.0312,0.0419,0.0316
2025-05-24T06:13:48.255Z,-0.1112,1.01,-0.105,0.152,-0.2506,-0.1409,-0.0346,0.0703,0.0513
2025-05-24T06:13:48.264Z,-0.1099,0.9808,-0.1193,0.2711,-0.1649,-0.0261,-0.0324,0.1026,0.0681
2025-05-24T06:13:48.275Z,-0.0876,0.9663,-0.1246,0.218,0.1152,0.0987,-0.0414,0.0925,0.0738
2025-05-24T06:13:48.284Z,-0.0712,0.9745,-0.1209,0.0166,0.2404,0.1465,-0.0445,0.0999,0.0675
2025-05-24T06:13:48.296Z,-0.0742,0.9895,-0.1067,-0.1298,0.1354,0.1031,-0.0421,0.0854,0.0535
2025-05-24T06:13:48.305Z,-0.0905,1.0002,-0.0902,-0.0634,-0.0037,-0.0398,-0.0505,0.0853,0.0592
2025-05-24T06:13:48.314Z,-0.1118,1.0092,-0.0916,0.1115,-0.0992,-0.1883,-0.0387,0.1125,0.0818
2025-05-24T06:13:48.325Z,-0.1015,1.0064,-0.113,0.3129,-0.1943,-0.1477,-0.0356,0.1455,0.1114
2025-05-24T06:13:48.334Z,-0.0728,0.9937,-0.1298,0.1669,-0.1355,0.087,-0.053,0.1563,0.1069
2025-05-24T06:13:48.345Z,-0.0532,0.9875,-0.1203,-0.0855,-0.0111,0.2078,-0.0513,0.1204,0.0719
2025-05-24T06:13:48.354Z,-0.0154,0.9741,-0.1115,-0.2906,0.0483,0.1167,-0.0525,0.0808,0.0281
2025-05-24T06:13:48.364Z,-0.0114,0.971,-0.1006,-0.6431,0.1836,0.0236,-0.0555,0.0226,-0.0266
2025-05-24T06:13:48.375Z,-0.0191,0.968,-0.1109,-0.653,0.2042,-0.0643,-0.0515,-0.021,-0.0547
2025-05-24T06:13:48.384Z,-0.0579,0.9675,-0.1169,-0.5657,0.2365,0.068,-0.0499,-0.0262,-0.0664
