time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2025-05-24T06:11:21.048Z,0.0594,-0.2508,-0.984,-0.2055,-0.0206,-0.2018,0.1322,-0.0838,-0.131
2025-05-24T06:11:21.056Z,0.0874,-0.2938,-0.9266,-0.2967,0.2465,-0.3473,0.0645,-0.0355,-0.115
2025-05-24T06:11:21.066Z,0.0828,-0.2932,-0.9222,-0.2463,0.2086,-0.3735,0.0002,-0.0006,-0.1063
2025-05-24T06:11:21.076Z,0.0787,-0.2798,-0.9248,-0.1997,0.0759,-0.3411,-0.0642,0.0037,-0.1138
2025-05-24T06:11:21.086Z,0.0834,-0.2682,-0.9404,-0.2613,-0.0129,-0.1783,-0.1012,-0.0305,-0.1184
2025-05-24T06:11:21.096Z,0.0899,-0.2633,-0.9653,-0.322,-0.0415,0.0639,-0.1112,-0.0727,-0.1128
2025-05-24T06:11:21.106Z,0.0836,-0.2643,-0.9888,-0.2557,-0.0281,0.2798,-0.0934,-0.0909,-0.1057
2025-05-24T06:11:21.116Z,0.0736,-0.2662,-1.0069,-0.1621,-0.0043,0.4549,-0.0559,-0.0753,-0.0989
2025-05-24T06:11:21.126Z,0.0652,-0.266,-1.017,-0.0812,-0.0072,0.5474,-0.0076,-0.0825,-0.0913
2025-05-24T06:11:21.136Z,0.061,-0.2676,-1.0191,-0.0608,-0.0004,0.5616,0.0476,-0.1314,-0.0879
2025-05-24T06:11:21.146Z,0.054,-0.2648,-1.0067,0.0042,-0.033,0.4092,0.1105,-0.1536,-0.0939
2025-05-24T06:11:21.156Z,0.0463,-0.2629,-0.9753,0.0546,-0.059,0.0994,0.1554,-0.1427,-0.1074
2025-05-24T06:11:21.166Z,0.0491,-0.2746,-0.9505,0.0187,0.0266,-0.1067,0.192,-0.1255,-0.1236
2025-05-24T06:11:21.176Z,0.0834,-0.2498,-1.023,-0.3657,-0.3016,0.733,0.3032,0.0429,-0.0836
2025-05-24T06:11:21.186Z,0.0872,-0.2269,-1.0115,-0.2974,-0.4894,0.4027,0.333,0.02,-0.0722
2025-05-24T06:11:21.196Z,0.0663,-0.25,-0.9548,-0.1365,-0.265,-0.0435,0.3068,-0.0094,-0.0855
2025-05-24T06:11:21.206Z,0.0665,-0.2741,-0.95,-0.1243,-0.0779,-0.0941,0.2522,0.0743,-0.1067
2025-05-24T06:11:21.216Z,0.0725,-0.2722,-0.9332,-0.1816,-0.1384,-0.2542,0.1654,0.1904,-0.1018
2025-05-24T06:11:21.226Z,0.0975,-0.2642,-0.9166,-0.4003,-0.1989,-0.4126,0.0666,0.3019,-0.0572
2025-05-24T06:11:21.236Z,0.1298,-0.2724,-0.9093,-0.7047,-0.1164,-0.456,-0.0213,0.3671,0.0237
2025-05-24T06:11:21.245Z,0.153,-0.2641,-0.9113,-0.8471,-0.2231,-0.4526,-0.082,0.4254,0.1255
