time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2025-05-24T06:12:24.373Z,0.272,-0.0843,-0.902,-1.3599,-0.4985,-1.5565,0.0131,0.3668,-0.0651
2025-05-24T06:12:24.382Z,0.3091,-0.1355,-0.7597,-1.4326,-0.2968,-2.1564,-0.2013,0.1516,0.063
2025-05-24T06:12:24.392Z,0.2898,-0.1472,-0.7217,-1.2168,-0.1567,-2.486,-0.3815,0.0613,0.0928
2025-05-24T06:12:24.402Z,0.2671,-0.1426,-0.7229,-1.0181,-0.1725,-2.444,-0.5685,0.0253,0.1017
2025-05-24T06:12:24.412Z,0.2654,-0.1285,-0.7471,-1.0172,-0.2381,-2.1847,-0.7319,-0.0335,0.1163
2025-05-24T06:12:24.422Z,0.2562,-0.1203,-0.8055,-0.9377,-0.2269,-1.599,-0.8328,-0.118,0.1347
2025-05-24T06:12:24.432Z,0.2586,-0.1078,-0.8776,-1.003,-0.3048,-0.8883,-0.8568,-0.196,0.1621
2025-05-24T06:12:24.442Z,0.2803,-0.0639,-0.9464,-1.2532,-0.7053,-0.2848,-0.8305,-0.1824,0.2502
2025-05-24T06:12:24.452Z,0.2878,-0.0175,-0.9644,-1.289,-1.0256,-0.149,-0.7938,-0.0973,0.3646
2025-05-24T06:12:24.462Z,0.2568,-0.0348,-0.9833,-0.9522,-0.6972,0.0661,-0.7249,-0.0242,0.4222
2025-05-24T06:12:24.472Z,0.2103,-0.1063,-1.0193,-0.4942,0.02,0.3591,-0.5996,-0.0067,0.3848
2025-05-24T06:12:24.482Z,0.1336,-0.1338,-0.9871,0.3001,0.3142,-0.0007,-0.4419,-0.1765,0.2333
2025-05-24T06:12:24.492Z,-0.021,-0.2159,-1.0499,1.9513,1.2851,0.9188,-0.1914,-0.2158,-0.0631
2025-05-24T06:12:24.502Z,-0.2179,-0.3777,-1.2969,3.6331,2.773,3.2847,0.1654,-0.0005,-0.4934
2025-05-24T06:12:24.513Z,-0.1019,-0.368,-1.3223,2.2086,2.4016,3.1495,0.4271,-0.0356,-0.7241
