time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2025-05-24T06:13:12.884Z,0.1314,0.9894,-0.0035,-0.135,0.0338,0.0474,-0.0148,-0.0049,0.0367
2025-05-24T06:13:12.891Z,0.1594,0.9872,0.0012,0.0411,-0.0184,0.0471,-0.0088,0.0162,0.0178
2025-05-24T06:13:12.902Z,0.1597,0.9948,0.0074,0.0193,-0.0724,-0.0291,-0.0129,-0.0045,0.0118
2025-05-24T06:13:12.911Z,0.1567,0.9898,0.0164,0.0576,-0.0247,-0.0953,-0.012,-0.0196,0.0148
2025-05-24T06:13:12.922Z,0.1533,0.9852,0.0083,0.0957,0.0283,-0.0087,-0.0096,-0.0136,0.0152
2025-05-24T06:13:12.931Z,0.1503,0.9794,-0.0003,0.1167,0.0802,0.0768,-0.0066,-0.0084,0.0147
2025-05-24T06:13:12.941Z,0.1479,0.9775,-0.0056,0.1383,0.0874,0.1202,-0.0099,0.0048,0.0147
2025-05-24T06:13:12.952Z,0.1525,0.9817,-0.0009,0.0835,0.0472,0.0591,-0.0119,0.0057,0.0178
2025-05-24T06:13:12.961Z,0.1533,0.9872,0.0061,0.0932,-0.0125,-0.0017,-0.0116,-0.0076,0.0154
2025-05-24T06:13:12.972Z,0.1525,0.9892,0.0099,0.0804,-0.022,-0.0293,-0.0107,-0.0069,0.0114
2025-05-24T06:13:12.981Z,0.1611,0.9846,0.006,0.0185,0.0205,0.0071,-0.0059,-0.02,0.011
2025-05-24T06:13:12.991Z,0.1535,0.9877,0.0089,0.0848,-0.0195,-0.0352,-0.0111,-0.0354,0.0046
2025-05-24T06:13:13.002Z,0.1665,0.9916,0.0155,-0.0578,-0.0509,-0.0841,-0.0152,-0.0413,0.008
2025-05-24T06:13:13.011Z,0.1713,0.9935,0.0047,-0.0634,-0.0648,0.0273,-0.0172,-0.0396,0.0036
2025-05-24T06:13:13.022Z,0.1567,0.9986,-0.0042,0.0819,-0.1138,0.1054,-0.0236,-0.0427,-0.0021
2025-05-24T06:13:13.031Z,0.1454,0.9971,0.0024,0.1679,-0.0843,0.0306,-0.0289,-0.0501,-0.0023
2025-05-24T06:13:13.041Z,0.1471,0.9823,0.0085,0.1497,0.0567,-0.024,-0.016,-0.0365,0.0064
2025-05-24T06:13:13.052Z,0.142,0.9789,0.0026,0.2036,0.0757,0.0483,-0.0128,-0.0197,0.0171
2025-05-24T06:13:13.061Z,0.1459,0.9769,0.0019,0.1363,0.1045,0.0408,-0.0106,0.0104,0.0143
2025-05-24T06:13:13.072Z,0.17,0.9864,0.0132,-0.0963,-0.0253,-0.0748,-0.0079,-0.0183,0.0214
2025-05-24T06:13:13.081Z,0.1716,0.997,0.0185,-0.0716,-0.0936,-0.112,-0.0089,-0.0555,0.0071
2025-05-24T06:13:13.091Z,0.157,0.9879,0.009,0.063,-0.0009,-0.0086,-0.007,-0.0518,-0.0123
2025-05-24T06:13:13.102Z,0.1494,0.9855,-0.0042,0.1257,0.0094,0.1155,-0.0142,-0.0628,-0.0123
2025-05-24T06:13:13.111Z,0.1468,0.9817,-0.0057,0.1586,0.0614,0.1109,-0.0166,-0.0515,-0.0088
2025-05-24T06:13:13.123Z,0.1413,0.9749,0.0014,0.201,0.1176,0.0451,-0.0155,-0.0334,0.0021
2025-05-24T06:13:13.131Z,0.1488,0.9751,0.0005,0.1101,0.1066,0.0682,-0.0155,-0.0334,0.0021
2025-05-24T06:13:13.141Z,0.1525,0.9743,-0.0046,0.1001,0.115,0.1129,-0.0179,-0.0171,0.0141
2025-05-24T06:13:13.151Z,0.1573,0.9864,-0.0014,0.0304,-0.013,0.0675,-0.0166,-0.0024,0.024
2025-05-24T06:13:13.161Z,0.1616,0.9948,0.0081,0.0201,-0.0931,-0.0297,-0.0172,0.0042,0.0204
2025-05-24T06:13:13.173Z,0.1589,1.0005,0.0179,0.0156,-0.1359,-0.1165,-0.013,-0.01,0.0219
2025-05-24T06:13:13.181Z,0.1531,0.9892,0.0106,0.1293,-0.0028,-0.015,-0.013,-0.01,0.0219
2025-05-24T06:13:13.193Z,0.1366,0.9766,-0.0057,0.2617,0.1153,0.1416,-0.0118,0.0469,0.0488
2025-05-24T06:13:13.203Z,0.1288,0.9743,-0.0018,0.3501,0.0972,0.0588,-0.0009,0.0665,0.0581
