time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2025-05-24T06:10:46.286Z,0.071,-0.3086,-0.9528,-0.3171,0.3028,-0.114,0.1321,-0.0491,-0.1643
2025-05-24T06:10:46.290Z,0.0939,-0.3429,-0.9255,-0.3171,0.3028,-0.114,0.2099,-0.0468,-0.1289
2025-05-24T06:10:46.300Z,0.102,-0.3387,-0.9163,-0.3704,0.2892,-0.2319,0.1834,-0.0241,-0.1149
2025-05-24T06:10:46.310Z,0.1087,-0.3324,-0.9095,-0.4466,0.225,-0.3204,0.1429,-0.0158,-0.0993
2025-05-24T06:10:46.320Z,0.1174,-0.3271,-0.9165,-0.5178,0.1391,-0.3644,0.1177,-0.0142,-0.0833
2025-05-24T06:10:46.329Z,0.1228,-0.321,-0.9377,-0.6013,0.0802,-0.276,0.1135,-0.0075,-0.0622
2025-05-24T06:10:46.340Z,0.123,-0.3168,-0.9561,-0.6509,0.0117,-0.0498,0.1348,0.0158,-0.0322
2025-05-24T06:10:46.350Z,0.1153,-0.3159,-0.959,-0.6363,-0.0454,0.1161,0.1678,0.027,-0.0019
2025-05-24T06:10:46.360Z,0.1082,-0.3178,-0.9532,-0.561,-0.0614,0.1368,0.2118,0.0129,0.0262
2025-05-24T06:10:46.370Z,0.0967,-0.3203,-0.9402,-0.4901,-0.0681,0.0784,0.2599,-0.0359,0.038
2025-05-24T06:10:46.379Z,0.0837,-0.3127,-0.9303,-0.3664,-0.0735,-0.0491,0.2959,-0.0956,0.051
2025-05-24T06:10:46.390Z,0.077,-0.3561,-0.9355,-0.2616,-0.1381,-0.1197,0.3237,-0.0578,0.0748
2025-05-24T06:10:46.400Z,0.0849,-0.3535,-0.9038,-0.2207,0.2639,-0.0708,0.2957,-0.0311,0.1
2025-05-24T06:10:46.410Z,0.0665,-0.338,-0.8558,-0.2938,0.1458,-0.4272,0.2213,-0.0344,0.1053
2025-05-24T06:10:46.420Z,0.0494,-0.351,-0.8571,-0.0939,0.009,-0.8464,0.1482,-0.0505,0.0907
2025-05-24T06:10:46.429Z,0.0402,-0.3565,-0.8753,0.0429,0.1316,-0.7882,0.1184,-0.0436,0.0646
2025-05-24T06:10:46.440Z,0.0309,-0.3538,-0.8952,0.1375,0.1555,-0.5902,0.1235,-0.0279,0.0367
2025-05-24T06:10:46.450Z,0.0429,-0.3587,-0.9041,0.2039,0.1156,-0.4046,0.1408,-0.002,0.0194
2025-05-24T06:10:46.460Z,0.0824,-0.3581,-0.9109,0.07,0.1648,-0.3353,0.1902,0.0051,0.1391
2025-05-24T06:10:46.470Z,0.1156,-0.3812,-0.9354,-0.3921,0.1117,-0.2332,0.2505,0.0208,0.2506
2025-05-24T06:10:46.479Z,0.0337,-0.4034,-0.9131,-0.5572,0.3905,-0.0067,0.2736,-0.0125,0.205
2025-05-24T06:10:46.490Z,0.0257,-0.369,-0.8786,0.2131,0.4805,-0.272,0.286,-0.0114,0.1844
2025-05-24T06:10:46.500Z,0.0393,-0.3729,-0.8643,0.2146,0.1307,-0.5672,0.2546,0.0311,0.1611
2025-05-24T06:10:46.510Z,0.0349,-0.3807,-0.8543,0.0964,0.1854,-0.6937,0.1803,0.0221,0.1344
2025-05-24T06:10:46.520Z,0.0341,-0.3822,-0.8688,0.1408,0.2359,-0.7689,0.1137,-0.0041,0.1522
2025-05-24T06:10:46.529Z,0.0331,-0.3814,-0.8937,0.1404,0.2242,-0.5905,0.0966,-0.0005,0.2175
2025-05-24T06:10:46.540Z,0.0444,-0.3843,-0.9216,0.1324,0.2148,-0.3426,0.1391,0.0336,0.3028
2025-05-24T06:10:46.550Z,0.0405,-0.3811,-0.952,0.0036,0.2237,-0.0562,0.2268,0.0822,0.3698
2025-05-24T06:10:46.560Z,0.0216,-0.3696,-0.9639,0.0771,0.1589,0.2384,0.3041,0.1591,0.4245
2025-05-24T06:10:46.570Z,0.0017,-0.3604,-0.9823,0.2631,0.0003,0.3499,0.4012,0.2675,0.4956
2025-05-24T06:10:46.579Z,-0.0157,-0.3761,-0.9948,0.478,-0.092,0.5636,0.5205,0.3624,0.5949
2025-05-24T06:10:46.590Z,0.0179,-0.38,-0.9857,0.6137,0.0044,0.6773,0.6605,0.3829,0.6736
2025-05-24T06:10:46.600Z,0.0168,-0.372,-0.9611,0.2591,-0.0336,0.6118,0.77,0.3793,0.6512
2025-05-24T06:10:46.610Z,-0.024,-0.3628,-0.9331,0.3775,-0.2022,0.3771,0.8353,0.3469,0.5617
2025-05-24T06:10:46.620Z,-0.0297,-0.3807,-0.919,0.7605,-0.3485,0.143,0.8481,0.2363,0.4445
2025-05-24T06:10:46.629Z,-0.0144,-0.4046,-0.905,0.7847,-0.2336,0.0525,0.8358,0.1221,0.3615
2025-05-24T06:10:46.640Z,-0.0076,-0.4089,-0.8847,0.6079,-0.0817,-0.0565,0.793,0.0644,0.2983
2025-05-24T06:10:46.650Z,-0.0177,-0.4298,-0.8955,0.5806,-0.1245,-0.2063,0.7475,0.101,0.2642
2025-05-24T06:10:46.660Z,-0.0179,-0.4231,-0.884,0.6545,0.0282,-0.0403,0.6904,0.1838,0.2175
2025-05-24T06:10:46.670Z,-0.1091,-0.3529,-0.7974,0.7273,-0.1884,-0.2186,0.4777,0.136,0.0072
2025-05-24T06:10:46.686Z,-0.1091,-0.3529,-0.7974,1.7099,-0.8899,-1.1138,0.0679,0.031,-0.3002
2025-05-24T06:10:46.690Z,-0.1242,-0.3622,-0.6818,2.1438,-0.8369,-1.9977,-0.3559,0.0882,-0.5589
2025-05-24T06:10:46.700Z,-0.0813,-0.3623,-0.737,1.7227,-0.7162,-2.1003,-0.6532,0.2461,-0.7425
2025-05-24T06:10:46.711Z,-0.0348,-0.3978,-0.8302,0.9692,-0.1897,-0.6368,-0.8124,0.2729,-0.8573
2025-05-24T06:10:46.721Z,0.0002,-0.3937,-0.9109,0.699,-0.1861,0.1269,-0.8543,0.2471,-0.9054
2025-05-24T06:10:46.729Z,0.0283,-0.3831,-0.9887,0.699,-0.1861,0.1269,-0.7903,0.2591,-0.8771
2025-05-24T06:10:46.741Z,0.0286,-0.369,-0.9951,0.609,-0.2791,0.7643,-0.6856,0.2949,-0.8328
2025-05-24T06:10:46.751Z,0.0081,-0.3788,-0.9573,0.8324,-0.0971,0.356,-0.5946,0.3123,-0.8214
2025-05-24T06:10:46.761Z,0.0476,-0.4,-0.9139,0.4161,0.1702,-0.0841,-0.5759,0.2752,-0.8282
2025-05-24T06:10:46.771Z,0.1099,-0.4187,-0.8951,-0.1191,0.4365,-0.2335,-0.6123,0.2539,-0.8169
2025-05-24T06:10:46.779Z,0.1709,-0.4564,-0.8929,-0.1191,0.4365,-0.2335,-0.6386,0.2529,-0.743
2025-05-24T06:10:46.791Z,0.2311,-0.4883,-0.8877,-1.2193,1.1987,-0.3386,-0.6703,0.2541,-0.6211
2025-05-24T06:10:46.800Z,0.267,-0.4442,-0.914,-1.2193,1.1987,-0.3386,-0.6913,0.3213,-0.4289
2025-05-24T06:10:46.811Z,0.2626,-0.4081,-0.9484,-1.3556,0.5566,0.2495,-0.6626,0.4268,-0.2252
2025-05-24T06:10:46.821Z,0.254,-0.4227,-0.9831,-1.2077,0.7679,0.5769,-0.5974,0.5284,-0.0504
2025-05-24T06:10:46.829Z,0.2197,-0.4289,-1.0257,-1.2077,0.7679,0.5769,-0.4849,0.6209,0.0894
2025-05-24T06:10:46.841Z,0.1491,-0.3973,-1.0406,-0.0001,0.4824,1.0727,-0.3617,0.5917,0.1481
2025-05-24T06:10:46.851Z,0.0947,-0.3289,-1.0373,0.4704,-0.1609,1.054,-0.253,0.4416,0.1388
2025-05-24T06:10:46.861Z,0.1017,-0.2938,-1.0451,0.409,-0.4497,1.1427,-0.113,0.2692,0.1317
2025-05-24T06:10:46.871Z,0.0928,-0.2979,-1.0414,0.4948,-0.3675,1.0622,0.0497,0.0765,0.0929
2025-05-24T06:10:46.880Z,0.1022,-0.3217,-1.0056,0.3607,-0.175,0.6882,0.1993,-0.1283,0.017
2025-05-24T06:10:46.890Z,0.1223,-0.3284,-0.9563,0.1082,-0.1603,0.1965,0.3222,-0.3494,-0.0733
2025-05-24T06:10:46.900Z,0.1619,-0.3445,-0.8924,-0.3415,0.0481,-0.3982,0.3746,-0.6252,-0.1238
2025-05-24T06:10:46.910Z,0.1825,-0.4117,-0.8909,-0.563,0.647,-0.3349,0.3446,-0.8315,-0.149
2025-05-24T06:10:46.920Z,0.1822,-0.4199,-0.9101,-0.6545,0.6221,-0.1624,0.2913,-0.9327,-0.127
2025-05-24T06:10:46.930Z,0.1876,-0.3922,-0.9155,-0.7644,0.3588,-0.1303,0.2111,-0.8761,-0.0499
2025-05-24T06:10:46.940Z,0.171,-0.3873,-0.9088,-0.6486,0.2971,-0.2015,0.151,-0.7909,0.0476
