time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2025-05-24T06:11:51.933Z,0.053,-0.2588,-0.9707,0.3615,-0.207,0.1441,-0.1022,0.1009,-0.1194
2025-05-24T06:11:51.936Z,0.0586,-0.2632,-0.9671,0.3615,-0.207,0.1441,-0.1022,0.1009,-0.1194
2025-05-24T06:11:51.946Z,0.0567,-0.2712,-0.959,0.3408,-0.1302,0.0974,-0.0949,0.09,-0.1048
2025-05-24T06:11:51.957Z,0.0558,-0.2715,-0.9567,0.3621,-0.053,0.0204,-0.085,0.0837,-0.0997
2025-05-24T06:11:51.966Z,0.0603,-0.2669,-0.9613,0.3716,-0.0532,0.0058,-0.0672,0.0683,-0.1085
2025-05-24T06:11:51.976Z,0.0701,-0.2602,-0.9709,0.3251,-0.103,0.0531,-0.0448,0.0463,-0.1133
2025-05-24T06:11:51.987Z,0.0718,-0.2552,-0.9719,0.2501,-0.1514,0.1458,-0.0242,0.0229,-0.125
2025-05-24T06:11:51.996Z,0.0707,-0.254,-0.9696,0.2526,-0.2045,0.1477,-0.0184,0.0027,-0.1263
2025-05-24T06:11:52.007Z,0.0712,-0.2616,-0.9613,0.2574,-0.114,0.0346,-0.0151,-0.0129,-0.1195
2025-05-24T06:11:52.016Z,0.0689,-0.2689,-0.9493,0.2574,-0.114,0.0346,-0.0191,-0.0212,-0.1074
2025-05-24T06:11:52.026Z,0.0699,-0.2691,-0.9458,0.2772,-0.0591,-0.0843,-0.028,-0.0458,-0.1072
2025-05-24T06:11:52.037Z,0.0669,-0.2697,-0.9404,0.2715,-0.0491,-0.1064,-0.0464,-0.0578,-0.1141
2025-05-24T06:11:52.046Z,0.0675,-0.2678,-0.9312,0.2905,-0.035,-0.1698,-0.0778,-0.0504,-0.1254
2025-05-24T06:11:52.058Z,0.0676,-0.2609,-0.934,0.2788,-0.1178,-0.2258,-0.1174,-0.0417,-0.1311
2025-05-24T06:11:52.068Z,0.0659,-0.2533,-0.9435,0.311,-0.1721,-0.1229,-0.1512,-0.0176,-0.1371
2025-05-24T06:11:52.076Z,0.0617,-0.2516,-0.9623,0.311,-0.1721,-0.1229,-0.1622,0.0138,-0.1423
2025-05-24T06:11:52.087Z,0.0613,-0.2544,-0.9818,0.3496,-0.1162,0.244,-0.1444,0.035,-0.1554
2025-05-24T06:11:52.096Z,0.0706,-0.2582,-0.9906,0.3496,-0.1162,0.244,-0.1086,0.0378,-0.1658
2025-05-24T06:11:52.106Z,0.0768,-0.2563,-0.9879,0.2645,-0.0769,0.3096,-0.065,0.0421,-0.1772
2025-05-24T06:11:52.117Z,0.0751,-0.2565,-0.9771,0.2518,-0.0884,0.1625,-0.0254,0.0595,-0.1865
2025-05-24T06:11:52.126Z,0.0792,-0.2592,-0.9716,0.2518,-0.0884,0.1625,-0.003,0.0463,-0.1706
2025-05-24T06:11:52.137Z,0.0787,-0.2708,-0.9522,0.2418,0.0844,-0.0815,-0.058,0.0287,-0.1003
2025-05-24T06:11:52.147Z,0.0697,-0.2895,-0.9594,0.3245,0.2733,0.0124,-0.1327,0.0346,-0.0366
2025-05-24T06:11:52.157Z,0.0543,-0.2822,-0.9543,0.5027,0.2002,-0.0618,-0.2375,0.0899,0.0466
2025-05-24T06:11:52.167Z,0.0374,-0.2803,-0.9441,0.6736,0.218,-0.1769,-0.3782,0.2245,0.1534
2025-05-24T06:11:52.176Z,0.0398,-0.2736,-0.9323,0.6736,0.218,-0.1769,-0.5341,0.3248,0.3022
2025-05-24T06:11:52.187Z,0.0299,-0.254,-0.9595,0.7921,0.0764,0.073,-0.6362,0.4275,0.4449
2025-05-24T06:11:52.197Z,0.0373,-0.257,-1.0137,0.691,0.2013,0.5,-0.683,0.3803,0.5926
2025-05-24T06:11:52.207Z,0.0862,-0.2682,-1.0031,0.1435,0.3193,0.3564,-0.6733,-0.0762,0.8415
2025-05-24T06:11:52.217Z,0.1222,-0.2437,-1.0297,-0.2092,0.0951,0.6903,-0.6131,-0.4709,1.1176
2025-05-24T06:11:52.227Z,0.0704,-0.2277,-1.0807,0.3124,-0.0156,1.111,-0.4666,-0.7053,1.3231
2025-05-24T06:11:52.237Z,-0.0386,-0.2148,-1.0931,1.308,-0.1511,1.2356,-0.2512,-0.5468,1.3963
2025-05-24T06:11:52.247Z,-0.1155,-0.2051,-1.1281,2.0156,-0.2348,1.5975,0.044,0.0888,1.3644
2025-05-24T06:11:52.257Z,-0.1663,-0.2088,-1.1459,2.5779,-0.2769,1.7453,0.3913,0.9612,1.2576
2025-05-24T06:11:52.267Z,-0.193,-0.2045,-1.1429,2.965,-0.411,1.7485,0.7783,1.7791,1.1007
2025-05-24T06:11:52.277Z,-0.1857,-0.189,-1.1366,3.0223,-0.7094,1.7742,1.1991,2.3027,0.9434
2025-05-24T06:11:52.286Z,-0.1139,-0.1711,-1.1418,2.4192,-1.0341,1.8549,1.6596,2.373,0.7707
2025-05-24T06:11:52.296Z,0.0251,-0.2011,-1.0793,1.1592,-0.838,1.2297,2.0121,1.8892,0.3844
2025-05-24T06:11:52.307Z,0.1288,-0.293,-0.9719,0.4059,-0.1249,0.2664,2.1679,1.1535,-0.1938
2025-05-24T06:11:52.317Z,0.1123,-0.3357,-0.8965,0.6947,-0.0273,-0.3605,2.3125,0.7031,-0.6389
2025-05-24T06:11:52.326Z,0.1126,-0.3002,-0.7913,0.6352,-0.6181,-1.4071,2.4087,0.158,-0.9247
2025-05-24T06:11:52.337Z,0.1798,-0.252,-0.6297,-0.119,-1.2802,-2.9257,2.3995,-0.6619,-1.1034
2025-05-24T06:11:52.346Z,0.2639,-0.2396,-0.4648,-1.1568,-1.3926,-4.6477,2.0814,-2.0142,-1.1643
2025-05-24T06:11:52.357Z,0.3615,-0.3944,-0.2048,-2.314,0.1575,-6.9567,0.9417,-3.8044,-0.9826
2025-05-24T06:11:52.367Z,0.2822,-0.4132,-0.4179,-1.713,0.0286,-4.4226,0.3369,-4.4675,-0.8005
2025-05-24T06:11:52.376Z,0.1558,-0.3836,-0.6741,-0.7901,-0.004,-2.1787,-0.1061,-4.2209,-0.7762
2025-05-24T06:11:52.387Z,0.0057,-0.4611,-0.886,0.4978,0.684,-0.0458,-0.4713,-2.9129,-0.9702
2025-05-24T06:11:52.396Z,-0.1019,-0.4254,-1.0252,1.3832,0.354,1.0483,-0.5365,-1.5028,-1.1806
2025-05-24T06:11:52.407Z,-0.1149,-0.4206,-1.0104,1.4277,0.418,0.7497,-0.5906,-0.2714,-1.2446
2025-05-24T06:11:52.416Z,-0.0401,-0.4286,-0.899,0.7215,0.5945,-0.4492,-0.8143,0.4444,-1.1152
2025-05-24T06:11:52.426Z,0.0329,-0.4538,-0.7915,0.1666,0.9475,-1.4437,-1.1631,0.8144,-1.0171
2025-05-24T06:11:52.436Z,0.0823,-0.4253,-0.7852,-0.1607,0.7111,-1.4351,-1.436,1.0853,-0.9416
2025-05-24T06:11:52.446Z,0.1196,-0.3485,-0.8273,-0.3643,0.1069,-1.0737,-1.5857,1.3366,-0.8423
2025-05-24T06:11:52.457Z,0.1521,-0.2761,-0.8447,-0.5305,-0.4328,-0.9686,-1.6695,1.4893,-0.6895
2025-05-24T06:11:52.467Z,0.1876,-0.2225,-0.8526,-0.7569,-0.759,-0.938,-1.7412,1.4542,-0.554
2025-05-24T06:11:52.476Z,0.2485,-0.1865,-0.862,-1.2747,-0.9347,-0.8343,-1.7976,0.898,-0.4166
2025-05-24T06:11:52.487Z,0.254,-0.1512,-0.9356,-1.1653,-1.1475,-0.0804,-1.693,0.3013,-0.2872
2025-05-24T06:11:52.496Z,0.1577,-0.1206,-1.0785,-0.1242,-1.2809,1.3819,-1.34,0.0843,-0.2039
2025-05-24T06:11:52.507Z,0.0473,-0.1448,-1.234,0.8766,-0.9125,2.7891,-0.8001,-0.0015,-0.1865
2025-05-24T06:11:52.517Z,0.0216,-0.2095,-1.2865,1.022,-0.2475,3.2096,-0.2234,-0.2233,-0.2514
2025-05-24T06:11:52.526Z,0.0243,-0.2612,-1.2984,0.9721,0.1679,3.2934,0.2968,-0.4279,-0.3922
2025-05-24T06:11:52.537Z,0.0218,-0.2577,-1.2398,0.9415,0.0289,2.61,0.6862,-0.5626,-0.5421
2025-05-24T06:11:52.546Z,0.0482,-0.2504,-1.1077,0.595,-0.1006,1.2735,0.8765,-0.7719,-0.6679
2025-05-24T06:11:52.557Z,0.0686,-0.2519,-0.9676,0.3327,-0.1539,-0.0429,0.8813,-1.1099,-0.753
2025-05-24T06:11:52.567Z,0.0694,-0.2539,-0.8741,0.2051,-0.1839,-0.8954,0.7278,-1.4561,-0.8022
2025-05-24T06:11:52.576Z,0.0813,-0.2663,-0.84,-0.0688,-0.0873,-1.1523,0.4598,-1.6755,-0.8308
2025-05-24T06:11:52.587Z,0.0971,-0.2752,-0.8623,-0.3397,-0.0161,-0.8965,0.1628,-1.6547,-0.8254
2025-05-24T06:11:52.596Z,0.1071,-0.2758,-0.9158,-0.5252,-0.0109,-0.3669,-0.1053,-1.4809,-0.7923
2025-05-24T06:11:52.607Z,0.0941,-0.2531,-0.9637,-0.4884,-0.2196,0.0706,-0.323,-1.2829,-0.7227
2025-05-24T06:11:52.616Z,0.0633,-0.2029,-1.0026,-0.2123,-0.7109,0.4134,-0.4872,-1.0621,-0.6155
2025-05-24T06:11:52.626Z,-0.0043,-0.1198,-1.0106,0.374,-1.4693,0.4221,-0.5973,-0.9223,-0.4684
2025-05-24T06:11:52.637Z,-0.0599,-0.0749,-0.9902,0.8617,-1.7841,0.1908,-0.6506,-0.9775,-0.3189
2025-05-24T06:11:52.646Z,-0.1693,-0.0686,-0.9551,1.8153,-1.7392,-0.1395,-0.6069,-1.1922,-0.2027
2025-05-24T06:11:52.657Z,-0.1809,-0.1325,-0.99,1.5601,-0.9738,0.2971,-0.4599,-1.5117,-0.1264
2025-05-24T06:11:52.666Z,0.0349,-0.2683,-1.0903,-0.9166,0.435,1.3445,-0.1244,-1.725,0.0472
2025-05-24T06:11:52.676Z,0.1693,-0.4084,-1.1758,-2.1169,1.664,2.0357,0.2787,-1.7303,0.1757
2025-05-24T06:11:52.687Z,0.1975,-0.4431,-1.1223,-2.5219,1.8437,1.4145,0.5782,-1.6251,0.2524
2025-05-24T06:11:52.696Z,0.1265,-0.4082,-0.9879,-1.7865,1.3667,0.0348,0.664,-1.4972,0.235
2025-05-24T06:11:52.707Z,-0.0243,-0.3195,-0.8162,-0.4642,0.4269,-1.5823,0.4546,-1.4191,0.0973
2025-05-24T06:11:52.716Z,-0.1201,-0.2469,-0.7366,0.2689,-0.2028,-2.1829,0.1374,-1.387,-0.087
2025-05-24T06:11:52.727Z,-0.157,-0.2577,-0.7759,0.4732,-0.0213,-1.7126,-0.171,-1.1433,-0.2191
2025-05-24T06:11:52.737Z,-0.1429,-0.2706,-0.8308,0.2286,0.1168,-1.2075,-0.4132,-0.8561,-0.2118
2025-05-24T06:11:52.750Z,-0.138,-0.2593,-0.8573,0.1797,0.0455,-1.0016,-0.6036,-0.6526,-0.1482
2025-05-24T06:11:52.756Z,-0.1574,-0.2396,-0.8596,0.3095,-0.0681,-0.9804,-0.7957,-0.4821,-0.1338
2025-05-24T06:11:52.766Z,-0.1598,-0.234,-0.8721,0.2919,-0.0231,-0.8719,-0.9782,-0.399,-0.1791
2025-05-24T06:11:52.776Z,-0.1558,-0.2217,-0.8984,0.2297,-0.0495,-0.6138,-1.1384,-0.3829,-0.2259
2025-05-24T06:11:52.787Z,-0.1605,-0.209,-0.9346,0.2424,-0.0514,-0.263,-1.2594,-0.3452,-0.2564
2025-05-24T06:11:52.796Z,-0.1583,-0.1988,-0.9881,0.209,-0.0207,0.2305,-1.3172,-0.2663,-0.2935
2025-05-24T06:11:52.807Z,-0.1577,-0.1892,-1.0183,0.1783,-0.0126,0.4697,-1.32,-0.1615,-0.3772
2025-05-24T06:11:52.816Z,-0.1234,-0.1714,-1.0234,-0.1973,-0.0899,0.4748,-1.3007,-0.0863,-0.4158
2025-05-24T06:11:52.826Z,-0.1058,-0.1193,-1.0205,-0.3418,-0.5462,0.4447,-1.2832,-0.2781,-0.3499
2025-05-24T06:11:52.837Z,-0.1181,-0.0522,-1.0622,-0.2449,-1.0426,0.9303,-1.2442,-0.4197,-0.25
2025-05-24T06:11:52.846Z,-0.1314,-0.0306,-1.138,-0.1506,-1.1143,1.6278,-1.1492,-0.343,-0.1745
2025-05-24T06:11:52.857Z,-0.131,-0.0193,-1.1693,-0.1772,-1.1358,1.8619,-1.0119,-0.1998,-0.1108
2025-05-24T06:11:52.866Z,-0.1438,-0.014,-1.1573,-0.0398,-1.0982,1.6925,-0.8674,-0.1418,-0.0824
2025-05-24T06:11:52.877Z,-0.1507,-0.0158,-1.1035,-0.0391,-0.9977,1.1304,-0.7543,-0.2867,-0.0938
2025-05-24T06:11:52.887Z,-0.1505,-0.0256,-1.0617,-0.0637,-0.8435,0.7621,-0.6591,-0.5106,-0.1581
2025-05-24T06:11:52.896Z,-0.1642,-0.0394,-1.047,-0.0063,-0.6762,0.6514,-0.5724,-0.6542,-0.2439
2025-05-24T06:11:52.908Z,-0.1609,-0.0151,-1.0333,-0.1269,-0.9024,0.4949,-0.4566,-0.7482,-0.3206
2025-05-24T06:11:52.916Z,-0.1235,0.0005,-0.9947,-0.5985,-1.0081,0.0965,-0.4566,-0.7482,-0.3206
2025-05-24T06:11:52.927Z,-0.0869,0.0186,-0.9448,-1.0137,-1.1384,-0.3719,-0.4158,-0.8317,-0.2744
2025-05-24T06:11:52.937Z,-0.0631,0.0136,-0.908,-1.3358,-1.0388,-0.7205,-0.3856,-0.9729,-0.1821
2025-05-24T06:11:52.946Z,-0.0501,0.009,-0.8683,-1.5423,-0.948,-1.0662,-0.3715,-1.1592,-0.0583
